ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE
10107,30,95.7,2,2871,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles
10121,34,81.35,5,2765.9,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles
10134,41,94.74,2,,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles
10145,45,83.26,6,3746.7,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles
10159,49,100,14,5205.27,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles
10168,36,96.66,1,3479.76,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles
10180,29,86.13,9,2497.77,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles
10188,48,100,1,,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles
10201,22,98.57,2,2168.54,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles
10211,41,100,14,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles
10223,37,100,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles
10237,23,100,7,2333.12,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles
10251,28,100,2,3188.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles
10263,34,100,2,3676.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles
10275,45,92.83,1,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles
10285,36,100,6,4099.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles
10299,23,100,9,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles
10309,41,100,5,4394.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles
10318,46,94.74,1,4358.04,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles
10329,42,100,1,4396.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles
10341,41,100,9,7737.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles
10361,20,72.55,13,1451,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles
10375,21,34.91,12,733.11,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles
10388,42,76.36,4,3207.12,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles
